first,last,birthday,pick
Jorge,Rogers,1/27/1987,5
Miguel,Higgins,9/8/2000,5
Chester,Harrison,12/12/1959,5
Lottie,Christensen,10/4/1994,4
Mayme,Garza,9/23/1965,5
Hilda,Tyler,12/18/1965,4
Jean,May,8/14/1989,4
Nora,Edwards,5/28/1977,1
Kate,Carroll,11/15/1966,4
Cynthia,Reynolds,11/16/1982,5
Vincent,Cain,1/15/1977,5
Ruth,Peters,8/25/1968,3
George,Bridges,9/10/1968,3
Willie,Reid,2/21/1980,1
Emily,Horton,8/27/2000,5
Virginia,Hill,2/14/1956,1
Maurice,Martinez,9/18/1965,3
Joshua,Garner,4/26/1958,4
Isabella,Gonzalez,2/21/1997,5
Jim,Cain,5/9/1999,1
Josie,Jackson,5/19/1995,3
Susie,George,3/1/1989,3
Jeanette,Andrews,3/27/1994,2
Lily,Vasquez,1/4/1977,5
Celia,Gibson,4/13/1955,4
Nicholas,Brock,12/18/1988,4
Bernice,Hall,10/12/1964,4
Chris,Sherman,5/24/1981,4
Viola,May,3/2/1979,1
Cornelia,Berry,9/10/1963,1
Marion,Guerrero,6/25/1994,4
Stanley,Lynch,10/16/1960,4
Wayne,Higgins,12/28/2001,3
Nettie,Palmer,8/20/1972,3
Marie,Murray,12/29/1991,3
Roger,Morrison,6/27/1978,2
Stella,Black,10/29/1956,2
Jared,Moran,3/2/1962,3
Eula,Reese,11/2/1997,4
Allie,Knight,12/2/1969,4
Cornelia,Quinn,9/14/1987,4
Frances,Pierce,5/8/1981,3
Jose,Sandoval,12/25/1995,5
Larry,Harvey,4/26/1980,3
Gordon,Sparks,3/5/1981,3
Lucy,McGee,2/12/1992,5
Tillie,Cain,10/5/1978,5
Hattie,Ferguson,2/3/1995,1
Gary,Rose,7/11/2000,2
Cora,Wheeler,7/21/1968,4
Della,Hayes,2/12/1983,4
Sam,Alvarado,3/19/1972,4
Lily,Vargas,4/30/1997,4
Ernest,Stewart,12/2/1972,4
Ethel,Nichols,2/25/1991,3
Elnora,Warner,6/21/1973,2
Betty,McGuire,12/6/1974,5
Benjamin,McBride,9/30/1998,2
Daniel,Banks,12/15/1976,5
Gordon,Stone,7/24/1959,2
Ida,Norman,3/19/1986,4
Maria,Clark,10/23/1976,1
Ray,Hammond,10/15/2002,1
Belle,Riley,5/20/1973,2
Jon,Cummings,7/13/1980,4
Lettie,Warner,11/29/1964,1
Bryan,Rios,2/4/1974,5
Billy,Byrd,10/12/1988,1
Alta,Owen,8/14/1963,2
Dominic,Vargas,1/31/1965,3
Rachel,Benson,5/25/1987,1
Effie,Powell,10/20/1982,3
Grace,Reid,6/10/1966,4
Bertie,Alexander,3/16/1977,3
Etta,Pearson,6/15/1966,4
Danny,Diaz,3/6/1955,1
Noah,Goodman,10/10/1992,3
Teresa,Chambers,1/23/1960,5
Bryan,Woods,7/6/1971,4
David,Clark,7/10/1984,3
Bernard,McBride,5/17/2000,2
Mario,Patrick,6/15/1965,1
Andrew,Pearson,9/4/1972,2
Cory,McCarthy,9/9/1971,3
Abbie,Harvey,2/13/1983,2
Alberta,Roberson,7/14/1965,1
Nellie,Payne,9/14/1960,4
Minnie,Collier,10/9/1978,1
Oscar,Perez,2/12/1963,1
Millie,Maldonado,2/4/1975,4
Alex,Gibbs,3/12/1999,1
Ina,Rodgers,6/22/1969,4
Jesse,Hart,9/21/1975,3
Katherine,Sullivan,4/18/1996,1
Chase,Frazier,4/15/1979,5
Mildred,Russell,10/28/1998,4
Isaac,Luna,11/7/1988,5
Glen,Peterson,9/3/1960,3
Mathilda,Thompson,6/14/2002,1
Grace,Waters,11/5/1978,4
Amelia,Gardner,3/24/1990,4
Francisco,Cain,6/22/1975,3
Anthony,Diaz,12/2/2002,1
Louise,Osborne,3/24/1999,1
George,Chavez,1/18/1987,5
Lewis,Marsh,9/16/1964,4
Myrtle,Floyd,12/22/1983,2
Alta,Greer,7/19/1976,2
Larry,Reese,5/6/1979,5
Franklin,Wong,4/9/1974,4
Elizabeth,Black,8/16/1967,3
Ellen,King,10/28/1991,2
Russell,Kennedy,4/4/1975,2
Adele,Collins,7/19/1984,1
Seth,Hogan,4/11/1968,5
Dustin,Bryant,5/11/1968,2
Lucinda,Love,2/7/1985,2
Don,Wagner,5/26/1997,2
Mabel,Erickson,4/17/1982,2
Steve,Griffith,2/17/1983,3
Robert,Moody,12/11/1962,4
Lottie,Abbott,9/16/1956,2
Ora,Fletcher,2/15/1992,3
Sophie,Rios,10/27/1956,4
Ella,Clark,5/10/1959,1
Lora,Larson,4/8/1975,3
Hattie,Griffin,10/4/1956,3
Elijah,Nunez,12/30/1989,4
Shawn,Floyd,8/26/1965,1
Christine,Banks,7/23/1973,5
Ann,Allison,6/9/1961,2
Emma,Garrett,8/8/1986,2
Albert,Vega,5/30/1997,3
Ronald,Myers,10/26/1975,5
Caroline,Terry,4/17/1967,1
Milton,Anderson,12/29/1958,5
Jerome,Bowman,11/6/1988,3
Edwin,Reid,9/4/2000,1
Etta,Casey,12/24/1973,3
Rodney,Atkins,7/4/1993,3
Marguerite,Mills,1/27/1989,2
Dorothy,Ramsey,3/31/1982,3
Garrett,Richards,10/14/1991,3
Alfred,Nunez,5/10/1987,1
Henry,Ortega,12/17/1959,1
Mathilda,Salazar,12/6/1998,5
Logan,Blake,11/28/1956,1
Estella,Simpson,4/26/1994,1
Olive,Mack,7/14/1976,3
Gertrude,Perez,12/27/1957,4
Cory,Moran,7/3/1993,2
Ralph,Ortega,7/22/1971,4
Catherine,Spencer,12/6/1998,5
Luella,Hodges,5/22/2002,3
Rodney,Higgins,6/11/1961,5
Dale,Hamilton,11/13/2002,1
Dorothy,Norman,11/6/1958,5
Brett,Mann,12/19/1998,5
Lola,Castillo,8/16/1999,5
Edith,Ferguson,4/1/1956,5
Joel,Scott,11/3/1999,5
Marie,Mills,12/19/1972,5
Alvin,Morales,10/11/1985,1
Shane,Hall,8/9/1958,4
Ella,Jenkins,11/21/1967,1
Elnora,Munoz,9/13/1989,2
Larry,Shaw,9/1/1974,1
Devin,Sims,12/24/1955,1
Jimmy,Pratt,9/26/1991,2
Ola,Roberson,3/2/1986,4
Ralph,Goodman,9/6/1987,3
Trevor,Nunez,3/30/1982,2
Jack,Webster,12/23/1980,4
Amelia,Gonzales,11/19/1992,4
Elnora,Jennings,10/12/1967,4
Adeline,Stone,11/8/1956,4
Gussie,Sutton,12/13/1980,4
Belle,Todd,1/23/1983,1
Lena,Ray,1/13/1987,5
Katherine,Doyle,11/9/1971,2
Marion,Alvarado,11/26/1981,1
Frank,Craig,4/8/1977,5
Wayne,Hayes,9/21/1969,3
Anne,Berry,11/28/2002,1
Timothy,Bishop,2/26/2000,5
Isaiah,Knight,7/13/1969,1
Phillip,Jefferson,4/13/1982,3
Stephen,Warner,12/29/1959,2
Georgie,Fowler,9/25/1977,3
Teresa,Jimenez,7/12/1957,5
Amelia,Norris,10/21/1957,4
Isabella,Marsh,12/21/1976,2
Mabel,Martinez,6/19/1969,5
Della,Boone,3/10/1967,1
Lora,Hernandez,8/20/1957,4
Miguel,Allison,1/14/2001,1
Carlos,Weaver,11/28/1976,2
Walter,Rice,3/3/1958,4
Mae,Young,7/26/1955,2
Madge,Carlson,1/4/1962,4
Eleanor,Miles,10/18/1974,2
Jerome,Chapman,6/28/1981,1
Cody,Ferguson,12/17/1987,1
Louisa,Hoffman,11/3/1967,3
Nina,Herrera,9/3/1966,3
Luke,Payne,12/16/1992,2
Myrtle,Carson,6/2/1959,1
Aiden,Wells,8/5/1966,5
Owen,Spencer,5/22/1987,5
Lula,Reid,3/7/1986,3
Blanche,West,8/25/2002,5
Maurice,Burgess,6/5/1988,4
Allen,Massey,7/16/1987,2
Winnie,Mendoza,5/10/1989,3
Sophia,Shelton,10/15/1990,3
Alexander,Bennett,11/30/1956,4
Rhoda,Cummings,4/14/1956,5
Mamie,Morgan,7/13/1969,5
Rhoda,Hill,12/18/1990,4
Duane,Russell,11/1/1968,5
Bernice,Freeman,2/19/1988,1
Hester,Tucker,7/18/2002,4
Georgia,Tate,11/9/2000,5
Jean,Houston,3/23/1963,3
Hunter,Osborne,5/24/1988,4
Calvin,Carson,4/8/2001,1
Johnny,Flowers,2/9/1983,5
Darrell,Spencer,8/10/1955,3
Grace,Manning,3/22/1966,1
Clayton,Schultz,9/8/1975,1
Leon,Oliver,11/10/1967,3
Rosie,Graves,9/3/1974,5
Isaiah,Olson,11/22/1998,3
Lura,Sullivan,6/19/1993,3
Jeffery,Lamb,4/6/1983,3
Myrtie,Gibson,1/22/2001,4
Frank,May,9/28/1959,1
Randy,Steele,2/24/1986,2
Benjamin,Walsh,3/26/1986,4
Lloyd,Patterson,5/29/2001,2
Lelia,Houston,1/31/1998,5
Lottie,Ortiz,8/30/1962,1
Justin,Moody,8/5/1975,2
Louise,Owen,12/14/2002,5
Eunice,Warner,2/9/1978,3
Don,Wallace,2/8/2002,3
Eunice,Woods,1/12/1984,4
Francis,Peters,4/28/1990,5
Minnie,Simon,10/5/2001,5
Lucas,Salazar,1/29/1977,1
Eunice,Horton,8/2/1984,2
Gene,Strickland,7/25/1994,4
Nettie,Curry,7/1/1964,1
Gavin,Lopez,7/11/1989,1
Bernice,Hammond,1/28/1979,5
Devin,Henry,9/7/1955,1
Alice,Keller,4/20/1961,3
Ruby,Stanley,8/21/1986,4
Claudia,Kim,1/7/1974,2
Randy,Hines,3/24/1958,4
Ryan,Wise,12/14/1986,1
Lina,Woods,6/22/1988,3
Cecelia,Copeland,4/6/1995,2
Nina,Graves,1/22/1984,4
Alexander,Stevens,1/13/1958,3
Georgia,Daniel,2/1/2000,2
Seth,McKinney,10/29/1973,3
Estella,Barton,3/31/1973,4
Bill,Fowler,2/5/1972,3
Francis,Klein,10/31/1997,2
Ophelia,Carter,6/14/1988,1
Jessie,Griffith,6/25/1990,5
Fannie,Payne,7/1/2000,1
Sophie,Greene,9/3/1996,3
Ryan,Tucker,5/16/1959,5
Ricardo,Burns,4/29/1966,5
Elva,Robinson,2/26/1964,1
Jose,Higgins,4/10/1997,3
Victor,Hayes,4/12/1994,4
Dustin,Norton,3/1/1999,1
Bettie,Walters,2/4/1990,1
Allen,Goodwin,1/17/1973,1
Norman,Wilson,12/10/1993,2
Eugene,Mullins,4/3/1987,2
Minnie,Edwards,10/11/1978,5
Adeline,Marshall,7/13/1977,5
Florence,Park,3/23/1964,4
Alan,Jackson,8/13/1975,1
Virgie,Zimmerman,3/17/1981,1
Isaiah,Hammond,11/16/1980,4
Ora,Morales,5/9/1985,1
Isaiah,Singleton,6/11/1987,1
Agnes,Hunt,3/13/2002,2
Alma,Pratt,11/2/1963,5
Birdie,Bryan,1/24/1964,4
Grace,Gray,12/17/1991,5
Cameron,Moore,4/13/1972,3
Steven,Hardy,6/16/1973,2
Raymond,Duncan,6/1/1988,2
Sallie,Gardner,12/30/1959,3
Myra,Elliott,4/20/1963,4
Katharine,Bass,5/27/1966,1
Isabel,Hines,4/29/1991,3
Susan,Richards,1/19/1957,3
Amy,Todd,5/23/1986,3
Caroline,Sanchez,12/23/1961,1
Duane,Curry,10/2/1982,3
Caroline,Gonzalez,9/19/2000,5
Martha,Reese,1/27/1962,5
Lina,Sanders,8/29/1999,3
Richard,Atkins,1/2/1966,3
Helen,McCormick,2/28/1981,5
Essie,Brooks,12/19/2002,1
Rena,Rivera,11/25/1987,2
Kathryn,Fitzgerald,2/21/2001,5
Luke,Paul,12/30/1971,3
Essie,Collier,9/28/1993,1
Evan,Byrd,3/22/1969,2
Stephen,Ruiz,4/1/1978,4
Edwin,Sherman,8/3/1977,5
Hilda,Sullivan,3/24/1981,1
Floyd,Fisher,9/7/1973,4
Polly,Caldwell,9/18/1982,4
Madge,Diaz,4/2/1996,2
Sam,Pierce,11/24/1969,5
Bettie,Allison,7/28/1979,1
Rebecca,Wells,10/13/1975,2
Floyd,Kelly,10/3/1961,2
Mark,Gonzales,1/19/1982,3
Rose,Pena,5/12/1987,5
Eric,Brock,4/29/1957,5
Nellie,Olson,9/12/1989,1
Derrick,Massey,6/11/1987,5
Dean,Meyer,3/21/1981,2
Mario,Baldwin,12/2/1956,1
Irene,Torres,3/5/1961,3
Ricardo,Cortez,6/4/1980,4
Billy,Barnes,7/16/1997,2
Birdie,Hicks,12/19/1975,4
Angel,Scott,4/10/1997,5
Ryan,Burns,11/22/1972,3
Antonio,McBride,1/30/2002,4
Clifford,Blair,2/13/1996,1
Keith,Hill,9/9/1996,5
Helena,Payne,10/1/1980,3
Nora,Powell,2/13/1981,2
Jerry,Wells,9/16/1963,5
Lee,Schmidt,10/28/1996,3
Ivan,Haynes,2/23/1957,2
Terry,Singleton,7/11/1998,4
Harry,Wagner,8/19/1972,2
Ricardo,Robertson,4/13/1999,5
Dylan,Schultz,3/25/1960,3
Jimmy,Tucker,1/10/1997,3
Mina,Rowe,7/1/1963,4
Roger,Ryan,6/9/2001,2
Jeff,Griffith,2/10/1984,4
Devin,Gross,8/2/2002,2
George,Carter,9/18/1993,4
Virgie,Moss,4/14/1955,3
Chris,Harper,6/2/1991,2
Amy,Sanders,10/20/1991,2
Howard,Lyons,3/11/1956,3
Miguel,Watson,3/21/1992,1
Jimmy,Padilla,4/22/1957,1
Marie,Robertson,2/3/1978,4
Ollie,Moody,12/26/1966,3
Kyle,Kelly,8/20/2002,5
Emma,McCormick,9/12/1986,4
Dylan,Cooper,10/5/1971,5
Gertrude,Carson,8/17/1964,5
Kevin,Barker,6/9/1996,1
Patrick,Colon,8/8/2002,1
Joseph,Harper,8/2/1996,5
Bradley,McBride,1/5/1984,4
Eunice,Martinez,3/20/1989,3
Laura,Ortiz,3/29/1983,3
Kevin,McDonald,1/14/1997,4
Carolyn,Knight,10/15/1971,1
Barbara,Boone,1/22/1983,4
Darrell,Kennedy,3/12/1966,4
Benjamin,Lowe,4/2/1991,2
Clifford,Webster,9/27/1960,5
Jordan,Nguyen,8/16/1991,3
Georgia,Frank,7/20/1982,5
Mable,Marsh,1/9/1996,4
Theresa,Lawson,3/18/1965,3
Hallie,Franklin,6/5/1995,4
Helen,Lopez,9/23/1975,5
Harriet,Morgan,11/13/1976,2
Lina,Cain,7/29/1955,3
Elsie,Joseph,4/23/1981,3
Jack,Bryan,12/6/1961,4
Randy,Baldwin,1/22/1990,1
Leona,French,1/8/1998,5
Jeffery,Dean,1/23/1982,1
Mittie,Myers,2/16/1973,4
Loretta,Dixon,4/17/1998,3
Catherine,Jensen,3/17/1997,1
Isaiah,Carr,10/31/2002,5
Ernest,Patterson,11/21/1994,3
Mabelle,Love,12/1/1969,3
Rosalie,Soto,7/15/1987,4
Winnie,Todd,1/9/1975,4
Anne,Rowe,6/15/1955,1
Alice,Robinson,12/9/1978,3
Lina,Daniel,6/25/1970,3
Edith,Day,7/30/1988,4
Charles,Martin,5/5/1989,5
Hannah,Craig,2/13/1960,4
Lula,Fields,9/10/1960,5
Jonathan,Bennett,1/5/2002,4
Winnie,Abbott,10/22/1958,1
Catherine,Figueroa,1/14/1955,5
Celia,Drake,1/26/1990,1
Edna,Gregory,2/3/1980,4
Matilda,Barker,1/11/1996,2
Alex,Wright,7/5/1956,5
Adeline,Pierce,8/8/1982,3
Jerry,Delgado,7/10/1974,4
Jeremiah,Clarke,6/11/1995,3
Leo,Howard,11/5/1959,5
Norman,Jordan,11/8/1965,1
Harriet,Wolfe,11/4/1976,3
Myra,Schneider,8/10/2000,2
Connor,Schneider,8/13/1964,3
Lora,Griffith,11/14/1991,2
Carolyn,Harris,11/19/1956,3
Craig,Lamb,7/16/1958,3
Ollie,Oliver,2/17/1975,5
Harvey,Holmes,7/28/1989,4
Ollie,Boyd,2/7/1996,4
Wayne,Gill,3/24/1958,2
Cecilia,Andrews,10/23/1965,3
Willie,Silva,6/20/1965,4
Clarence,Carson,3/10/1965,5
Marvin,Owens,10/13/1980,3
Curtis,Glover,7/5/1970,3
Violet,Munoz,8/15/1964,3
Minerva,Wagner,11/3/1987,5
Dustin,Adkins,11/3/1979,5
Mario,Ryan,7/3/1971,5
Jeffrey,Howell,9/6/1989,3
Sean,Reynolds,8/8/1984,2
Cory,May,1/22/1995,1
Travis,Gilbert,12/22/1973,5
Lillie,Diaz,2/9/1993,2
Ralph,Harper,4/6/1972,1
Derrick,Barnett,9/4/1974,1
Matilda,Summers,11/26/1991,3
Stanley,Harrington,11/27/1972,5
Cecilia,Mendez,5/4/1965,3
Rosetta,Harvey,11/23/2002,2
Evelyn,Bailey,10/3/1955,5
Victoria,Weber,2/12/1995,2
Cornelia,Aguilar,11/2/1961,4
Francis,Wise,9/14/1987,3
Ruby,Burgess,7/22/1978,2
Mitchell,Wilkins,4/29/1996,4
Martha,Johnston,1/19/1968,1
Jerry,Bradley,11/6/1966,5
Dora,Moody,4/17/1992,1
Dustin,Wong,1/12/1978,2
Ethan,Daniel,6/19/1979,4
Estella,Gross,1/4/1988,1
Landon,Bowen,2/7/1963,5
Craig,Lewis,7/15/1979,3
Nettie,Adkins,4/18/1974,5
Norman,Dean,1/18/1996,1
Vincent,Robertson,7/2/2002,2
Minerva,Schultz,1/11/1983,1
Hilda,Shelton,5/31/1994,1
Margaret,Mendoza,4/22/2001,2
John,Walters,6/14/1974,5
Carlos,Williamson,12/1/1977,4
Roxie,Keller,6/29/1976,5
Alberta,Wade,5/16/1958,3
Fred,Goodwin,12/17/1980,4
Chad,Cole,11/6/1985,4
Lena,Williamson,2/23/1992,1
Daisy,Doyle,7/30/1961,4
Tillie,Clayton,5/7/1957,4
Kate,Copeland,12/22/1960,1
Nancy,Briggs,4/12/1956,4
Edna,Hunt,3/8/2002,3
Benjamin,Greene,12/1/1969,3
Jeremy,Henderson,4/14/1985,1
Tillie,Barnett,12/22/1980,3
Ethel,Strickland,3/16/1955,3
Hulda,Barber,1/30/1998,1
Joshua,Lane,2/6/2001,5
Susie,Freeman,2/28/1986,5
Linnie,Greene,9/10/1998,3
Allen,Patton,10/2/1958,2
Vera,Moore,11/20/1994,4
Jayden,Hoffman,10/11/1996,4
Sadie,Wagner,1/7/1959,5
Nelle,Burns,10/2/1955,4
Polly,Cummings,10/4/1957,3
Cecilia,Becker,5/23/1967,1
Samuel,Oliver,5/30/1971,2
Celia,Grant,4/3/2001,2
Jay,Kelley,6/9/1973,4
Sadie,Johnston,4/24/1968,2
Hilda,Sparks,3/26/1986,1
Jack,Riley,4/3/1982,4
Lilly,Estrada,8/11/1977,2
Jeff,Day,5/17/1961,1
Stanley,White,1/3/1958,2
Victor,Day,9/7/1981,3
Fanny,Lowe,3/21/1970,1
Alma,Dawson,1/31/1985,2
Harold,Chapman,4/17/1994,2
Jennie,Manning,4/7/1973,2
Ryan,Ramirez,11/30/1967,3
Jorge,Drake,10/10/1967,2
Elmer,Mills,8/11/1988,4
Duane,Burke,8/16/1967,5
Allen,Joseph,9/22/1998,2
Hallie,Myers,1/13/1979,4
Eugenia,Schneider,2/6/1963,1
Delia,Lee,7/27/1966,1
Violet,Shelton,5/15/1969,2
Maggie,King,3/26/1997,4
Etta,Norman,12/22/1975,3
Alfred,Schneider,8/5/1975,4
Stanley,Matthews,2/23/1983,3
Robert,Meyer,9/26/1962,3
Thomas,Abbott,4/28/1974,2
Isabella,Townsend,7/29/1978,1
Francisco,Allison,1/27/1955,5
Bruce,Bush,6/17/1976,2
Alta,Freeman,11/24/1972,5
Henry,Vega,4/24/1973,1
Lucille,Padilla,2/3/1989,4
Bill,Pierce,2/10/1988,1
Jean,Jacobs,10/14/1995,1
Glen,Pena,10/22/1993,2
Minerva,McBride,10/31/1972,2
Lulu,Haynes,3/22/1967,5
Victor,Lloyd,4/1/1969,3
Mary,McDaniel,1/9/1959,1
Bruce,Barber,4/14/1993,4
Marguerite,Hammond,6/17/1979,1
Connor,Tyler,8/12/2002,3
Trevor,Aguilar,11/24/1962,5
Effie,Banks,1/19/1978,1
Marc,Parker,1/16/1969,5
Lura,Walters,3/29/1976,4
Charlotte,Simmons,6/30/1982,4
Cecelia,Barker,5/25/1980,4
Laura,Figueroa,9/27/1995,2
Caleb,Phelps,6/6/1962,2
Viola,Freeman,12/6/1971,1
Beulah,Bennett,9/13/1964,2
Gussie,McCarthy,6/5/2001,4
Rebecca,Lamb,6/23/1978,1
Jane,Singleton,5/29/1980,1
Brian,Moss,10/29/2000,1
Elizabeth,Jones,12/24/2000,3
Mittie,Weber,8/14/1963,3
Sylvia,Wood,7/17/2000,1
Viola,Pittman,9/17/1969,2
Virginia,Logan,2/17/1981,4
Ola,West,1/19/1956,5
Augusta,Peters,12/17/1955,1
Patrick,Barber,12/11/1985,2
Timothy,Cole,7/3/1978,5
Hallie,Huff,12/21/1968,2
Stella,Stone,2/26/1965,2
Zachary,Marsh,1/5/1979,2
Bryan,Garrett,4/4/1970,1
Maud,Hogan,8/19/1960,1
Hulda,Abbott,7/22/1960,3
Eric,Garza,10/18/1971,1
Nelle,Armstrong,8/18/1960,1
Ernest,Alvarez,11/22/1969,5
Trevor,Rodgers,12/6/1965,5
Jesus,Stanley,12/5/1990,3
Caroline,Ball,7/29/1994,3
Della,Freeman,12/5/1997,5
Genevieve,Horton,5/15/1998,5
Ivan,Wilkerson,1/28/1958,3
Jane,Cunningham,7/14/1980,1
Leah,Hubbard,8/19/1959,5
Jessie,Stanley,7/25/1967,1
Lydia,Hammond,2/3/1979,1
Agnes,Moss,12/26/1963,1
Jackson,Kennedy,9/27/1965,4
Jason,Foster,5/14/1988,4
Luis,Carroll,4/12/2000,3
Madge,Gutierrez,1/29/1963,4
Mathilda,Sims,7/22/1998,2
Albert,Kelly,5/10/1998,3
Lulu,Henderson,5/19/1970,4
William,Silva,3/15/1961,5
Martha,Fernandez,3/18/1989,2
Eunice,Cruz,8/21/1981,1
Darrell,Rodriguez,11/16/1990,1
Ruth,French,12/15/2001,4
Garrett,Hoffman,8/4/1998,2
Belle,Reese,11/8/1960,5
Timothy,Kim,10/28/1960,4
Eleanor,Page,12/27/1962,1
Rhoda,Mathis,5/27/1968,2
Melvin,Burke,8/6/1989,3
Nathan,Walsh,5/4/1956,4
Bill,McGuire,4/29/1997,3
Emily,Dunn,6/7/1980,2
Annie,Freeman,7/11/1960,4
Leona,Owen,10/10/1989,4
Mathilda,Erickson,10/18/1997,2
Daisy,McGuire,4/17/1982,1
Lettie,Hall,7/16/1986,2
Elva,Moreno,7/17/1967,1
Sue,Watts,2/4/1960,4
Lillian,Fields,4/17/1971,1
Olivia,Schneider,1/17/1999,1
Etta,Fleming,5/25/1969,4
Charlie,Little,5/19/1974,4
Edwin,Freeman,3/8/1992,4
Amelia,Hayes,1/1/1963,2
